Event,Prizepool,Date,Info,Winners
COPA BR 2,748,03/2023,Segunda copa BR mas a primeira com premio em dinheiro,shy 487|epnok 185|hange 75
BTRL 2,165,04/2023,Shy deu choke no WR aqui,sylv 165
BTRL 3,1000,12/2023,Valeu blacksmith pelos 1000 reais,booster 1000
COPA BR 3,800,03/2025,Uma copa pra reviver a comunidade que na epoca tava bem parada,sanjinhu 400|booster 280|brahmaquente 120
300 Membros,445,03/2025,Evento pra comemorar os 300 membros do server,
BTRL COOP ,500,06/2025,Uma das BTRL de todos os tempos. shy e darkk pegaram RB 2 vezes,shy 250|darkk 250
BTRL 4,1960,07/2025,muitos chokes muita tristeza e 6 milhoes de resets no total,epik 560|booster 440|brahmaquente 330|sanjinhu 220|shy 180|darkk 120|jeffer 60|ferrer 50
400 membros,500,08/2025,Para comemorar os 400 membros do server; nao falamos sobre oque aconteceu no final,
Copa BR Serie B,180,10/2025,Um torneio pra receber os novos membros depois do WR do sanjinhu,FrancMatt 120|arkell 60
Xande HR,100,03/2022,Um evento baseado no k4yfourHR mais experimental feito pelo Xande,batatowisk 70|epnok 20|shy 10
Xande HR 2,159,04/2024,Continuacao do Xande HR com direito a penalti de one cycle,booster 108|ferrer 36
COPA BR 4,1290,02/2026,A maior copa BR que ja tivemos! com a final com uma media de 100+ viewers,epik 720|darkk 380|sanjinhu 190
